Frontend Supply                                                                                                                                                                                                                                       ;Fertigungsmethode, für relevant                                          ;classes                               ;Sub classes (#)           ;Feldname [EN]                         ;ComparisonType;Datentyp Python Demand;Datentyp Python Supply;Recommender Typ              ;Abhängigkeiten zu anderen Preferences;Dominant Parent
Hat Ihr Unternehmen eine der folgenden Maßnahmen ergriffen, um die Ergebnisse, Folgen, Auswirkungen oder den Einfluss seiner Geschäftsaktivitäten auf die Ziele für nachhaltige Entwicklung zu messen und zu steuern?                               ;ALL                                                                        ;class SustanabilityProfile            ;MEASUREMENT               ;advanced_measurement_sdgs             ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
E-Mail                                                                                                                                                                                                                                                ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;email                                 ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Umsatz aus letzten Bilanzjahr                                                                                                                                                                                                                         ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;sales                                 ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
Mitarbeiter:innenzahl QS/QM                                                                                                                                                                                                                           ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;employees_qs_qm                       ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
Wie viel Prozent der Materialien (nach Volumen) stammen aus recycelten Materialien, wiederverwendeten Komponenten und/oder zertifizierten, nachhaltig beschafften Materialien?                                                                      ;ALL                                                                        ;class SustanabilityProfile            ;ENVIRONMENTAL_AWARENESS   ;percent_environmentally_materials     ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Wie beteiligt sich Ihr Unternehmen an Sozialen Projekten?                                                                                                                                                                                             ;ALL                                                                        ;class SustanabilityProfile            ;SOCIAL_AWARNESS           ;corporate_citizenship                 ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Wie reagieren Sie, wenn der Zeitplan nicht Ihren Erwartungen entspricht?                                                                                                                                                                            ;ALL                                                                        ;class PersonalPreferences             ;DELIVERY_TIME             ;delayed_delivery                      ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Liefergarantie der zugesagten Menge                                                                                                                                                                                                                   ;ALL                                                                        ;class PersonalPreferences             ;RELIABILITY               ;delivery_guarantee                    ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie gehen sie mit Qualitätsstandards im Betrieb um?                                                                                                                                                                                                   ;ALL                                                                        ;class PersonalPreferences             ;QUALITY_AWARENESS         ;quality_standards                     ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Nachname                                                                                                                                                                                                                                              ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;last_name                             ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Wie wichtig sind verbindliche Zusagen für mich?                                                                                                                                                                                                       ;ALL                                                                        ;class PersonalPreferences             ;RELIABILITY               ;obligatory_promise                    ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie wichtig ist für Sie die Regionalität bei der Beschaffung?                                                                                                                                                                                         ;ALL                                                                        ;class PersonalPreferences             ;REGIONALISM               ;regionalism                           ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Ergreift Ihr Unternehmen eine der folgenden Maßnahmen, um das Risiko von Kinder- und Zwangsarbeit in seinen eigenen Betrieben oder in seiner Lieferkette zu verhindern oder zu bewältigen?                                                          ;ALL                                                                        ;class SustanabilityProfile            ;HUMAN_RIGHTS              ;screening_child_labor                 ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Mitarbeiter:innenzahl Entwicklung                                                                                                                                                                                                                     ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;employees_development                 ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
File Upload Feld für AGBs                                                                                                                                                                                                                             ;ALL                                                                        ;class TermsAndConditions              ;-                         ;upload_terms_file                     ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Welche Praktiken gibt es in Ihrem Unternehmen, um ethische Entscheidungen zu fördern und Korruption zu verhindern?                                                                                                                                  ;ALL                                                                        ;class SustanabilityProfile            ;ETHIC                     ;ethics_policies                       ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
"Passwort
                                                                                                                                                                                                                                             ";ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;password                              ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Würden Sie ökologische Nachhaltigkeit in der Fertigung dem Preis vorziehen?                                                                                                                                                                           ;ALL                                                                        ;class PersonalPreferences             ;PRICE                     ;price_sustainability                  ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie steuert Ihr Unternehmen seine Treibhausgasemissionen zumindest für Scope 1 und 2?                                                                                                                                                                 ;ALL                                                                        ;class SustanabilityProfile            ;MONITORING                ;monitoring_greenhouse                 ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Abteilungsname                                                                                                                                                                                                                                        ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;department_name                       ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Hat Ihr Unternehmen eine der folgenden Maßnahmen ergriffen, um Stakeholder über Ihre sozialen und ökologischen Leistungen zu informieren?                                                                                                           ;ALL                                                                        ;class SustanabilityProfile            ;STAKEHOLDER               ;stakeholder_engagement                ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Gibt es in Ihrem Unternehmen eine der folgenden Verpflichtungen in Bezug auf die Menschenrechte?                                                                                                                                                      ;ALL                                                                        ;class SustanabilityProfile            ;HUMAN_RIGHTS              ;human_rights_policy                   ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Was ist in der schriftlichen Antidiskriminierungspolitik Ihres Unternehmens für die Einstellung und den Arbeitsplatz geregelt?                                                                                                                        ;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;non_discrimination_policy             ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Referenzkunden                                                                                                                                                                                                                                        ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;reference_customers                   ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Ergreift Ihr Unternehmen eine der folgenden Maßnahmen, um Arbeitnehmer vor Belästigung am Arbeitsplatz, einschließlich körperlicher, verbaler, sexueller oder psychologischer Belästigung, Missbrauch oder Drohungen, zu schützen und zu verhindern?;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;preventing_harassment                 ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Was steht in dem schriftlichen und zugänglichen Mitarbeiterhandbuch Ihres Unternehmens?                                                                                                                                                               ;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;employee_handbook                     ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
"Lieferadresse
                                                                                                                                                                                                                                        ";ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;last_shipping_adress                  ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Gibt es in Ihrem Unternehmen Strategien oder Praktiken, die sicherstellen sollen, dass das Unternehmen seinen gerechten Anteil an den Steuern zahlt?                                                                                                ;ALL                                                                        ;class SustanabilityProfile            ;TRANSPARENCY              ;tax_management                        ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Welchen Stellenwert messe ich Effizienz zu?                                                                                                                                                                                                           ;ALL                                                                        ;class PersonalPreferences             ;MOTIVES_VALUES            ;sustainability_efficiency_price       ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Mitarbeiter:innenzahl Produktion                                                                                                                                                                                                                      ;ALL                                                                        ;class Company                         ;DETAILS_BUSINESS_FIGURES  ;employees_production                  ;-             ;int                   ;int                   ;ValueMagnitudePreference     ;-                                    ;-
Maschinen Liste                                                                                                                                                                                                                                       ;ALL                                                                        ;class Department                      ;DETAILS_SKILLS_FIGURES    ;machines_list                         ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Gibt es in Ihrem Unternehmen eine der folgenden Maßnahmen, um den Arbeitnehmern einen existenzsichernden Lohn zu zahlen?                                                                                                                            ;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;payment_living                        ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Wie gehen sie mit dem Ökologischen Fussabdruck in ihrem Unternehmen um?                                                                                                                                                                               ;ALL                                                                        ;class PersonalPreferences             ;ENVIRONMENTAL_AWARENESS   ;product_footprint                     ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Produkt Beispiele                                                                                                                                                                                                                                     ;ALL                                                                        ;class Department                      ;DETAILS_SKILLS_FIGURES    ;product_samples_files                 ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Worauf achtet Ihr Unternehmen bei der Überprüfung der sozialen und ökologischen Praktiken und Leistungen Ihrer Lieferanten?                                                                                                                           ;ALL                                                                        ;class SustanabilityProfile            ;STAKEHOLDER               ;supplier_screen_topics                ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Prinzipientrue                                                                                                                                                                                                                                        ;ALL                                                                        ;class PersonalPreferences             ;METHODOLOGY               ;adaptions_orders                      ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie reagieren Sie, wenn ihr Budget nicht mit den Vorstellungen des Kunden übereinstimmt?                                                                                                                                                            ;ALL                                                                        ;class PersonalPreferences             ;PRICE                     ;budget_acceptance_order               ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Wie gehe ich mit Änderungen um?                                                                                                                                                                                                                       ;ALL                                                                        ;class PersonalPreferences             ;METHODOLOGY               ;adaptions_process                     ;-             ;float                 ;float                 ;RangePreference              ;-                                    ;-
Website                                                                                                                                                                                                                                               ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;website                               ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Überwacht und verwaltet Ihr Unternehmen seinen Wasserverbrauch?                                                                                                                                                                                       ;ALL                                                                        ;class SustanabilityProfile            ;MONITORING                ;monitoring_water                      ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Gibt es in Ihrem Unternehmen eine der folgenden Praktiken in Bezug auf die Vereinigungsfreiheit der Arbeitnehmer und das Recht auf Tarifverhandlungen?                                                                                                ;ALL                                                                        ;class SustanabilityProfile            ;LABOR                     ;freedom_association                   ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Erwarteter Jahresumsatz mit HEDY                                                                                                                                                                                                                      ;ALL                                                                        ;class Department                      ;DETAILS_DEPARTMENT_FIGURES;yearly_revenue                        ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
"Welches ERP System verwenden sie?
                                                                                                                                                                                                                    ";ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;erp_system                            ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Telefon Nummer User                                                                                                                                                                                                                                   ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;phone_user                            ;-             ;                      ;                      ;NoType                       ;-                                    ;-
Straße und Hausnummer                                                                                                                                                                                                                                 ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;address                               ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Adress Zusatz                                                                                                                                                                                                                                         ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;additional_address_information        ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
PLZ                                                                                                                                                                                                                                                   ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;postal_code                           ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Stadt                                                                                                                                                                                                                                                 ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;city                                  ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Land                                                                                                                                                                                                                                                  ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;country                               ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Liefergebiet Radius [km]                                                                                                                                                                                                                              ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;delivery_area                         ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Company Tweet                                                                                                                                                                                                                                         ;ALL                                                                        ;class Company                         ;COMPANY_PROFILE           ;tweet                                 ;-             ;-                     ;-                     ;NoType                       ;-                                    ;-
Is the company a signatory and an active member of any of the following responsible finance initiatives?                                                                                                                                              ;ALL                                                                        ;class SustanabilityProfile            ;FINANCE                   ;banking_investment                    ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Does your company do any of the following when making investment decisions?                                                                                                                                                                           ;ALL                                                                        ;class SustanabilityProfile            ;FINANCE                   ;banking_finance                       ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Does the company do any of the following to ensure that natural resource wealth can benefit all citizens?                                                                                                                                             ;ALL                                                                        ;class SustanabilityProfile            ;HUMAN_RIGHTS              ;extractives                           ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
