Frontend Supply                                                                                                                                                                                                                                       ;Fertigungsmethode, für relevant                                          ;classes                               ;Sub classes (#)           ;Feldname [EN]                         ;ComparisonType;Datentyp Python Demand;Datentyp Python Supply;Recommender Typ              ;Abhängigkeiten zu anderen Preferences;Dominant Parent
"Liefertermin Wunsch
                                                                                                                                                                                                                                  ";ALL                                                                        ;class GeneralOrderParameters          ;PERFECT_ORDER             ;delivery_date_request                 ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
Assembly sides                                                                                                                                                                                                                                        ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;assembly_sides                        ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Angebotsgültigkeit in Wochen                                                                                                                                                                                                                          ;ALL                                                                        ;class TermsAndConditions              ;OFFER                     ;validity_of_quotation                 ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Anzahl der Musterbauteile                                                                                                                                                                                                                             ;ALL                                                                        ;class QualityAndCertification         ;SAMPLE                    ;sample_amount                         ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Schwund                                                                                                                                                                                                                                               ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;shrinkage                             ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
Formgenauigkeit                                                                                                                                                                                                                                       ;CHANGE_MATERIAL_PROPERTIES,COATING,FUSING,FORMING,PRIMARY_FORMING,CUTTING;class OrderParametersExclPCBAssembly  ;GENERELL_ORDER_PARAMETER  ;shape_accuracy                        ;LESS_EQU      ;float                 ;float                 ;Parameter                    ;-                                    ;-
n_NPTH                                                                                                                                                                                                                                                ;PCB_ASSEMBLY                                                               ;class PCBDrills                       ;METRIC_DATA               ;n_NPTH                                ;LESS_EQU      ;int                   ;int                   ;Parameter                    ;-                                    ;-
Impedanzkontrolle (Impedance Control)                                                                                                                                                                                                                 ;PCB_ASSEMBLY                                                               ;class PCBGeneral                      ;PCB_GENERELL              ;impedance_control                     ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
CE-Konformitätserklärung ist möglich                                                                                                                                                                                                                  ;ALL                                                                        ;class QualityAndCertification         ;ADDITIONAL SERVICES       ;ce_conformity                         ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Abnahmeprüfung
  durch Prüfungsprotokoll möglich.                                                                                                                                                                                                                   ";ALL                                                                        ;class TermsAndConditions              ;ADDITIONAL SERVICES       ;inspection_record                     ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Anguss                                                                                                                                                                                                                                                ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;sprue                                 ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Welche Materialien verarbeiten Sie?                                                                                                                                                                                                                   ;ALL                                                                        ;class GeneralOrderParameters          ;GENRELL_PRODUCT_PARAMETER ;material                              ;INCLUSIVE     ;bool,list           ;bool,list           ;MultipleChoicePreference     ;-                                    ;-
Entformung                                                                                                                                                                                                                                            ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;demolding                             ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Art der Bestellung                                                                                                                                                                                                                                    ;ALL                                                                        ;class GeneralOrderParameters          ;GENERELL_ORDER_PARAMETER  ;order_type                            ;INCLUSIVE     ;bool,list           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
"Vertragswidrige
  Mängel werden behoben.                                                                                                                                                                                                                             ";ALL                                                                        ;class TermsAndConditions              ;QUALITY_PRODUCT           ;defects_corrected                     ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Oberflächengüte wird eingehalten                                                                                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_PRODUCT           ;surface_quality                       ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"INCOTERMS
  werden bei der Lieferung angewandt.                                                                                                                                                                                                                ";ALL                                                                        ;class TermsAndConditions              ;QUALITY_MANAGEMENT        ;intercoterms                          ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Oberfläche                                                                                                                                                                                                                                            ;PRIMARY_FORMING                                                            ;class InjectionMolding                ;GENERELL_INJECTION_MOLDING;surface_quality_pcb                   ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Welche Standards werden in der Fertigung eingehalten?                                                                                                                                                                                                 ;ALL                                                                        ;class QualityAndCertification         ;COMPANY_PROFILE           ;certification_production              ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
Zertifizierungen als Service werden angeboten                                                                                                                                                                                                         ;ALL                                                                        ;class Department                      ;ADDITIONAL SERVICES       ;certification                         ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
"Werden
  Mängel nicht behoben, wird der Kaufpreis gemindert                                                                                                                                                                                                 ";ALL                                                                        ;class TermsAndConditions              ;QUALITY_PRODUCT           ;defects_purchase_price                ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Prüfkennzeichnung ist garantiert                                                                                                                                                                                                                      ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;test_marking                          ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
"Sind
  Lieferterminänderung durch den Kunden möglich?                                                                                                                                                                                                     ";ALL                                                                        ;class TermsAndConditions              ;CHANGES                   ;delivery_date_changes                 ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Formbild in Einsatz                                                                                                                                                                                                                                   ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;molding_inserts                       ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Anspritzsystem                                                                                                                                                                                                                                        ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;gating_system                         ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Teileentformung                                                                                                                                                                                                                                       ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;part_demolding                        ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
"Sind
  Änderungswünsche möglich?                                                                                                                                                                                                                          ";ALL                                                                        ;class TermsAndConditions              ;CHANGES                   ;change_requests                       ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreferenceOrdered;-                                    ;-
Welche besonderen Anforderungen bieten Sie an?                                                                                                                                                                                                        ;ALL                                                                        ;class Company                         ;AREAS_ACTIVITY            ;special_requirements                  ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Qualitätsmanagement System ist vorhanden                                                                                                                                                                                                              ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;quality_management_system             ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Nachbearbeitung                                                                                                                                                                                                                                       ;CHANGE_MATERIAL_PROPERTIES,COATING,FUSING,FORMING,PRIMARY_FORMING,CUTTING;class OrderParametersExclPCBAssembly  ;ADDITIONAL SERVICES       ;rework_additional_services            ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Sind sie an einer strategischen Zusammenarbeit interessiert?                                                                                                                                                                                          ;ALL                                                                        ;class PersonalPreferences             ;EXPECTATIONS_PARTNER      ;strategic_cooperation                 ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Bitte geben sie die Stornierungsbedingungen an:                                                                                                                                                                                                       ;ALL                                                                        ;class TermsAndConditions              ;GENERELL_ORDER_PARAMETER  ;cancellation_conditions               ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
Schusszähler                                                                                                                                                                                                                                          ;CUTTING                                                                    ;class ToolConstructionInjectionMolding;TOOLING_MOLDING_GENERELL  ;shot_counter                          ;INCLUSIVE     ;bool                  ;bool                  ;Parameter                    ;-                                    ;-
Verfügen sie über Terminsicherungsprogramme, die rechtzeitig Probleme anzeigen und den Kunden bei Standardisierung und Bestandssenkung unterstützen?                                                                                                ;ALL                                                                        ;class PersonalPreferences             ;DELIVERY_TIME             ;delivery_assurance_program            ;INCLUSIVE     ;bool                  ;bool                  ;BoolPreference               ;-                                    ;-
Qualitätsmanagement Handbuch ist vorhanden                                                                                                                                                                                                            ;ALL                                                                        ;class QualityAndCertification         ;QUALITY_MANAGEMENT        ;quality_management_handbook           ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Wie wollen sie kontaktiert werden?                                                                                                                                                                                                                    ;ALL                                                                        ;class User                            ;GENERELL_INFORMATION_USER ;contact_type                          ;INCLUSIVE     ;list,bool           ;list,bool           ;SingleChoicePreference       ;-                                    ;-
"Behebung
  der Kosten der Mängel werden übernommen                                                                                                                                                                                                            ";ALL                                                                        ;class TermsAndConditions              ;QUALITY_PRODUCT           ;cost_of_defects                       ;INCLUSIVE     ;bool,list           ;bool,list           ;SingleChoicePreferenceOrdered;-                                    ;-
Interne Audits                                                                                                                                                                                                                                        ;ALL                                                                        ;class QualityAndCertification         ;COMPANY_PROFILE           ;internal_audits                       ;INCLUSIVE     ;list,bool           ;list,bool           ;MultipleChoicePreference     ;-                                    ;-
