Package/Bezeichnung/Footprint/Description;    ;                                                                   ;                    ;Packaging Type                                ;Mount Type   ;Length;Width
TSSOP-20                                 ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
TVSOP                                    ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
VSOP                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
VSSOP                                    ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
WSON                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
USON                                     ;Enum;                                                                   ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
MSOP-8                                   ;Enum;8-MSOP                                                             ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
MSOP-10                                  ;Enum;10-MSOP                                                            ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
MSOP-12                                  ;Enum;12-MSOP                                                            ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
MSOP-16                                  ;Enum;16-MSOP                                                            ;Elektronic Component;Small outline packages                        ;SMT          ;      ;
CSP                                      ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
TCSP                                     ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
TDSP                                     ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
WCSP, WL-CSP, WLCSP                      ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
PMCP                                     ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
Fan-out WLCSP                            ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
eWLB                                     ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
MICRO SMD                                ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
TAB                                      ;Enum;                                                                   ;Elektronic Component;Chip-scale packages                           ;SMT          ;      ;
FBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
LBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
TEPBGA                                   ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
CBGA                                     ;Enum;                                                                   ;Elektronic Component;Ball grid array                               ;BGA          ;      ;
